partner_a,partner_b
IL12B,IL12RB2
IL12B,IL12RB1
IL12A,IL12RB2
IL12A,IL12RB1
ACVR2A,INHBA
ACVR2A,INHBB
ACVR1B,INHBA
ACVR1B,INHBB
ACVR1,INHBA
ACVR1,INHBB
IL12B,IL23R
IL23A,IL12RB1
IL23A,IL23R
ACVR2B,INHBA
ACVR2B,INHBB
ITGAM,FGG
ITGAM,FGB
ITGAM,FGA
ITGB2,FGG
ITGB2,FGB
ITGB2,FGA
ACVR1C,INHBA
ACVR1C,INHBB
IL27,IL6ST
IL27,IL27RA
EBI3,IL6ST
EBI3,IL27RA
IL17A,IL17RA
IL17A,IL17RC
IL17F,IL17RA
IL17F,IL17RC
EBI3,IL12RB2
IL12A,IL6ST
ITGA2B,FGG
ITGA2B,FGB
ITGA2B,FGA
ITGB3,FGG
ITGB3,FGB
ITGB3,FGA
ITGAX,FGG
ITGAX,FGB
ITGAX,FGA
